bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,price
3,1,1180,5650,1,1180,0,1955,0,1340,221900
3,2.25,2570,7242,2,2170,400,1951,1991,1690,538000
2,1,770,10000,1,770,0,1933,0,2720,180000
4,3,1960,5000,1,1050,910,1965,0,1360,604000
3,2,1680,8080,1,1680,0,1987,0,1800,510000
4,4.5,5420,101930,1,3890,1530,2001,0,4760,1.23E+06
3,2.25,1715,6819,2,1715,0,1995,0,2238,257500
3,1.5,1060,9711,1,1060,0,1963,0,1650,291850
3,1,1780,7470,1,1050,730,1960,0,1780,229500
3,2.5,1890,6560,2,1890,0,2003,0,2390,323000
3,2.5,3560,9796,1,1860,1700,1965,0,2210,662500
2,1,1160,6000,1,860,300,1942,0,1330,468000
3,1,1430,19901,1.5,1430,0,1927,0,1780,310000
3,1.75,1370,9680,1,1370,0,1977,0,1370,400000
5,2,1810,4850,1.5,1810,0,1900,0,1360,530000
4,3,2950,5000,2,1980,970,1979,0,2140,650000
3,2,1890,14040,2,1890,0,1994,0,1890,395000
4,1,1600,4300,1.5,1600,0,1916,0,1610,485000
2,1,1200,9850,1,1200,0,1921,0,1060,189000
3,1,1250,9774,1,1250,0,1969,0,1280,230000
4,1.75,1620,4980,1,860,760,1947,0,1400,385000
3,2.75,3050,44867,1,2330,720,1968,0,4110,2.00E+06
5,2.5,2270,6300,2,2270,0,1995,0,2240,285000
2,1.5,1070,9643,1,1070,0,1985,0,1220,252700
3,2.25,2450,6500,2,2450,0,1985,0,2200,329000
3,2,1710,4697,1.5,1710,0,1941,0,1030,233000
3,1.75,2450,2691,2,1750,700,1915,0,1760,937000
3,1,1400,1581,1.5,1400,0,1909,0,1860,667000
3,1.75,1520,6380,1,790,730,1948,0,1520,438000
4,2.5,2570,7173,2,2570,0,2005,0,2630,719000
3,2.5,2320,3980,2,2320,0,2003,0,2580,580500
2,1.5,1190,1265,3,1190,0,2005,0,1390,280000
4,1.75,2330,5000,1.5,1510,820,1929,0,1460,687500
3,1,1090,3000,1.5,1090,0,1929,0,1570,535000
4,2.75,2060,6659,1,1280,780,1981,0,2020,322500
3,2.5,2300,3060,1.5,1510,790,1930,2002,1590,696000
4,1,1660,34848,1,930,730,1933,0,2160,550000
4,2,2360,6000,2,2360,0,1904,0,1730,640000
4,1,1220,8075,1,890,330,1969,0,1290,240000
4,2.5,2620,7553,2,2620,0,1996,0,2620,605000
4,2.5,2570,5520,2,2570,0,2000,0,2470,625000
4,2.25,4220,24186,1,2600,1620,1984,0,2410,775000
5,2.75,3595,5639,2,3595,0,2014,0,3625,861990
3,1,1570,2280,2,1570,0,1922,0,1580,685000
3,1,1280,9656,1,920,360,1959,0,1340,309000
3,2.5,3160,13603,2,3160,0,2003,0,3050,488000
3,1,990,8528,1,990,0,1966,0,1228,210490
4,2.5,2290,13416,2,2290,0,1981,0,2680,785000
3,1.75,1250,5963,1,1250,0,1953,0,970,450000
3,2.5,2753,65005,1,2165,588,1953,0,2680,1.35E+06
3,1,1190,9199,1,1190,0,1955,0,1190,228000
5,2.5,3150,9134,1,1640,1510,1966,0,1990,345000
3,1.75,1410,4080,1,1000,410,1950,0,1410,600000
2,1.75,1980,8550,1,990,990,1981,0,1480,585000
5,2.25,2730,6000,1.5,2130,600,1927,0,2730,920000
4,2.5,2830,5000,2,2830,0,1995,0,1950,885000
4,2.5,2250,4495,2,2250,0,2008,0,2250,292500
3,2.5,2420,4750,2,2420,0,2003,0,2690,301000
5,3.25,3250,14342,2,3250,0,1968,0,2960,951000
4,3,1850,9976,2,1850,0,1991,0,2270,430000
3,2.25,2150,21235,1,1590,560,1959,0,2570,650000
3,1.75,1260,8400,1,1260,0,1954,0,1290,289000
3,1.75,2519,8690,2,2519,0,1973,0,2500,505000
3,1.75,1540,1044,3,1540,0,2014,0,1580,549000
3,2.25,1660,6000,1,1110,550,1979,0,1440,425000
3,2.75,2770,3809,1.5,1770,1000,1925,0,1440,317625
4,2.5,2720,11049,2,2720,0,1989,0,2750,975000
4,2.5,2240,4648,2,2240,0,2005,0,2221,287000
3,1,1000,12070,1,1000,0,1968,0,1010,204000
5,2.25,3200,20158,1,1600,1600,1965,0,3390,1.33E+06
5,3.25,4770,50094,1,3070,1700,1973,0,3530,1.04E+06
3,2,1260,5612,1,1260,0,1972,0,1640,325000
4,2,2750,7807,1.5,2250,500,1916,0,1510,571000
4,2.5,2380,5000,2,2380,0,2005,0,2420,360000
3,1.75,1790,50529,1,1090,700,1965,0,1940,349000
4,4,3430,35102,2,2390,1040,1986,0,3240,832500
4,1.75,1760,7300,1,880,880,1956,0,1680,380000
3,1,1040,5060,1,1040,0,1941,0,890,480000
3,1,1410,5060,1,910,500,1956,0,1130,410000
4,2.5,3450,39683,2,3450,0,2002,0,3350,720000
3,2.5,2350,5100,2,2350,0,2003,0,2350,390000
4,2.5,1900,5889,2,1900,0,1992,0,1870,360000
2,1,2020,6720,1,1010,1010,1948,0,1720,355000
3,1.5,1680,8712,1,1680,0,1964,0,1850,356000
3,1,960,6634,1,960,0,1952,0,1570,315000
3,1.5,2140,3600,2,1900,240,1925,0,2020,940000
5,2.25,2660,8400,1.5,2660,0,1961,0,1590,305000
3,3.25,2770,6278,2,1980,790,2006,0,1900,461000
2,2.25,1610,2040,2,1610,0,1979,0,1950,215000
2,1.75,1030,1066,2,765,265,2006,0,1030,335000
4,2.5,1980,7403,2,1980,0,1988,0,1980,243500
5,2.75,3520,6353,2,3520,0,2001,0,2520,1.10E+06
3,1,1200,10500,1,1200,0,1962,0,1350,153000
3,1.5,1580,5000,1,1290,290,1939,0,1570,430000
3,1.5,1580,5000,1,1290,290,1939,0,1570,700000
4,2.5,3300,10250,1,2390,910,1946,1991,1950,905000
3,1.75,1960,15681,1,1960,0,1967,0,1750,247500
4,1.5,1160,6400,1,1160,0,1975,0,1160,199000
3,1.75,1810,41800,1,1210,600,1980,0,1650,314000